complaint_id,description,category,priority,assigned_department
321,Residents are reporting blocked drain around the community center. Please inspect and resolve it.,Drainage,Medium,Drainage & Sewerage
322,Residents are reporting damaged electric pole around the neighborhood entrance. Please inspect and resolve it.,Electricity,Medium,Electricity
323,Please send a team to the public park; there is flooded drain that needs attention.,Drainage,Critical,Drainage & Sewerage
324,Residents are reporting overflowing drain around the market. Please inspect and resolve it.,Drainage,Medium,Drainage & Sewerage
325,"The the public park has low water pressure, and people are having difficulty using the area.",Water,Medium,Water Supply
326,"The the bus stop has low water pressure, and people are having difficulty using the area.",Water,Medium,Water Supply
327,The area around the school is affected by unsafe public area. Please arrange maintenance.,Safety,Medium,Public Safety
328,Citizens are concerned about sparking transformer at the hospital road. Kindly investigate.,Electricity,Critical,Electricity
329,The area around the school is affected by missing safety barrier. Please arrange maintenance.,Safety,Low,Public Safety
330,plastic waste has been noticed near the residential street and may become worse if ignored.,Waste,Medium,Waste Management
331,sewage overflow has been noticed near the market and may become worse if ignored.,Drainage,Critical,Drainage & Sewerage
332,There is a scattered waste near the main road. It is causing problems for residents.,Waste,Medium,Waste Management
333,Residents are reporting blocked drain around the railway crossing. Please inspect and resolve it.,Drainage,Medium,Drainage & Sewerage
334,There is a damaged electric pole near the hospital road. It is causing problems for residents.,Electricity,Medium,Electricity
335,Citizens are concerned about loose cable at the bus stop. Kindly investigate.,Electricity,Medium,Electricity
336,The area around the main road is affected by power outage. Please arrange maintenance.,Electricity,Low,Electricity
337,"The the market has flooded drain, and people are having difficulty using the area.",Drainage,Critical,Drainage & Sewerage
338,The area around the shopping area is affected by damaged road. Please arrange maintenance.,Roads,High,Roads & Works
339,"The the local mosque has sparking transformer, and people are having difficulty using the area.",Electricity,Critical,Electricity
340,sewer blockage has been noticed near the drainage lane and may become worse if ignored.,Drainage,Medium,Drainage & Sewerage
341,There is a flooded drain near the local mosque. It is causing problems for residents.,Drainage,Critical,Drainage & Sewerage
342,Residents are reporting broken sidewalk around the public park. Please inspect and resolve it.,Safety,Medium,Public Safety
343,loose cable has been noticed near the community center and may become worse if ignored.,Electricity,Medium,Electricity
344,"The the street corner has dangerous intersection, and people are having difficulty using the area.",Safety,Medium,Public Safety
345,Citizens are concerned about loose cable at the school. Kindly investigate.,Electricity,Medium,Electricity
346,Urgent attention is needed at the railway crossing because of broken sidewalk.,Safety,Low,Public Safety
347,Urgent attention is needed at the residential street because of unsafe public area.,Safety,Medium,Public Safety
348,Residents are reporting overflowing drain around the railway crossing. Please inspect and resolve it.,Drainage,Medium,Drainage & Sewerage
349,There is a construction waste near the public park. It is causing problems for residents.,Waste,Medium,Waste Management
350,The area around the public park is affected by broken water pipe. Please arrange maintenance.,Water,Low,Water Supply
351,broken water pipe has been noticed near the market and may become worse if ignored.,Water,High,Water Supply
352,There is a road excavation near the apartment block. It is causing problems for residents.,Roads,Medium,Roads & Works
353,Urgent attention is needed at the local mosque because of power outage.,Electricity,Low,Electricity
354,"The the apartment block has overflowing water tank, and people are having difficulty using the area.",Water,High,Water Supply
355,Please send a team to the public park; there is cracked road that needs attention.,Roads,High,Roads & Works
356,The area around the apartment block is affected by exposed electrical wire. Please arrange maintenance.,Electricity,Critical,Electricity
357,water supply interruption has been noticed near the bus stop and may become worse if ignored.,Water,High,Water Supply
358,The area around the public park is affected by illegal dumping. Please arrange maintenance.,Waste,Medium,Waste Management
359,Urgent attention is needed at the neighborhood entrance because of open manhole.,Drainage,High,Drainage & Sewerage
360,water supply interruption has been noticed near the school and may become worse if ignored.,Water,Low,Water Supply
361,Residents are reporting uncollected garbage around the neighborhood entrance. Please inspect and resolve it.,Waste,High,Waste Management
362,Residents are reporting broken streetlight around the residential street. Please inspect and resolve it.,Electricity,High,Electricity
363,"The the drainage lane has open manhole, and people are having difficulty using the area.",Drainage,High,Drainage & Sewerage
364,The area around the street corner is affected by damaged road. Please arrange maintenance.,Roads,High,Roads & Works
365,Urgent attention is needed at the main road because of cracked road.,Roads,Medium,Roads & Works
366,Citizens are concerned about contaminated water at the market. Kindly investigate.,Water,Medium,Water Supply
367,Citizens are concerned about blocked drain at the street corner. Kindly investigate.,Drainage,High,Drainage & Sewerage
368,The area around the residential street is affected by water leakage. Please arrange maintenance.,Water,Medium,Water Supply
369,The area around the hospital road is affected by overflowing water tank. Please arrange maintenance.,Water,Medium,Water Supply
370,Please send a team to the residential street; there is pothole that needs attention.,Roads,High,Roads & Works
371,Urgent attention is needed at the local mosque because of loose cable.,Electricity,Low,Electricity
372,Residents are reporting overflowing drain around the residential street. Please inspect and resolve it.,Drainage,Low,Drainage & Sewerage
373,The area around the apartment block is affected by plastic waste. Please arrange maintenance.,Waste,Low,Waste Management
374,There is a construction waste near the neighborhood entrance. It is causing problems for residents.,Waste,Medium,Waste Management
375,"The the shopping area has power outage, and people are having difficulty using the area.",Electricity,Medium,Electricity
376,Please send a team to the public park; there is road excavation that needs attention.,Roads,Medium,Roads & Works
377,Residents are reporting overflowing water tank around the railway crossing. Please inspect and resolve it.,Water,Medium,Water Supply
378,There is a blocked drain near the neighborhood entrance. It is causing problems for residents.,Drainage,Medium,Drainage & Sewerage
379,Urgent attention is needed at the railway crossing because of overflowing garbage bin.,Waste,High,Waste Management
380,Citizens are concerned about flooded drain at the main road. Kindly investigate.,Drainage,Critical,Drainage & Sewerage
381,Residents are reporting broken pavement around the bus stop. Please inspect and resolve it.,Roads,High,Roads & Works
382,There is a missing safety barrier near the school. It is causing problems for residents.,Safety,Medium,Public Safety
383,The area around the school is affected by flooded drain. Please arrange maintenance.,Drainage,Critical,Drainage & Sewerage
384,"The the railway crossing has abandoned structure, and people are having difficulty using the area.",Safety,High,Public Safety
385,The area around the apartment block is affected by uneven road. Please arrange maintenance.,Roads,Low,Roads & Works
386,Please send a team to the apartment block; there is water leakage that needs attention.,Water,High,Water Supply
387,Urgent attention is needed at the neighborhood entrance because of sewer blockage.,Drainage,High,Drainage & Sewerage
388,There is a damaged electric pole near the residential street. It is causing problems for residents.,Electricity,High,Electricity
389,There is a low water pressure near the public park. It is causing problems for residents.,Water,High,Water Supply
390,Citizens are concerned about sewer blockage at the market. Kindly investigate.,Drainage,Medium,Drainage & Sewerage
391,Urgent attention is needed at the hospital road because of plastic waste.,Waste,Medium,Waste Management
392,The area around the shopping area is affected by contaminated water. Please arrange maintenance.,Water,Medium,Water Supply
393,Residents are reporting exposed electrical wire around the apartment block. Please inspect and resolve it.,Electricity,Critical,Electricity
394,Urgent attention is needed at the market because of abandoned structure.,Safety,Medium,Public Safety
395,Citizens are concerned about water supply interruption at the residential street. Kindly investigate.,Water,Low,Water Supply
396,flooded drain has been noticed near the residential street and may become worse if ignored.,Drainage,Critical,Drainage & Sewerage
397,Urgent attention is needed at the shopping area because of construction waste.,Waste,Low,Waste Management
398,There is a uncollected garbage near the hospital road. It is causing problems for residents.,Waste,High,Waste Management
399,sewage overflow has been noticed near the community center and may become worse if ignored.,Drainage,Critical,Drainage & Sewerage
400,Urgent attention is needed at the market because of unsafe public area.,Safety,Medium,Public Safety
401,There is a broken sidewalk near the school. It is causing problems for residents.,Safety,Low,Public Safety
402,The area around the apartment block is affected by loose cable. Please arrange maintenance.,Electricity,Low,Electricity
403,Citizens are concerned about damaged road at the apartment block. Kindly investigate.,Roads,Medium,Roads & Works
404,"The the local mosque has broken streetlight, and people are having difficulty using the area.",Electricity,Medium,Electricity
405,Residents are reporting sewer blockage around the hospital road. Please inspect and resolve it.,Drainage,Medium,Drainage & Sewerage
406,Citizens are concerned about exposed electrical wire at the community center. Kindly investigate.,Electricity,Critical,Electricity
407,Residents are reporting missing safety barrier around the bus stop. Please inspect and resolve it.,Safety,Low,Public Safety
408,Urgent attention is needed at the neighborhood entrance because of contaminated water.,Water,High,Water Supply
409,broken pavement has been noticed near the apartment block and may become worse if ignored.,Roads,High,Roads & Works
410,The area around the residential street is affected by water supply interruption. Please arrange maintenance.,Water,Medium,Water Supply
411,"The the hospital road has water leakage, and people are having difficulty using the area.",Water,High,Water Supply
412,Citizens are concerned about overflowing garbage bin at the apartment block. Kindly investigate.,Waste,Medium,Waste Management
413,unsafe public area has been noticed near the neighborhood entrance and may become worse if ignored.,Safety,High,Public Safety
414,"The the shopping area has overflowing water tank, and people are having difficulty using the area.",Water,High,Water Supply
415,Please send a team to the market; there is power outage that needs attention.,Electricity,High,Electricity
416,Citizens are concerned about contaminated water at the main road. Kindly investigate.,Water,Medium,Water Supply
417,"The the apartment block has open manhole, and people are having difficulty using the area.",Drainage,Medium,Drainage & Sewerage
418,Urgent attention is needed at the residential street because of pothole.,Roads,High,Roads & Works
419,Urgent attention is needed at the neighborhood entrance because of abandoned structure.,Safety,High,Public Safety
420,Citizens are concerned about broken streetlight at the school. Kindly investigate.,Electricity,Medium,Electricity
421,Citizens are concerned about scattered waste at the railway crossing. Kindly investigate.,Waste,Low,Waste Management
422,"The the local mosque has loose cable, and people are having difficulty using the area.",Electricity,High,Electricity
423,There is a contaminated water near the neighborhood entrance. It is causing problems for residents.,Water,High,Water Supply
424,"The the residential street has power outage, and people are having difficulty using the area.",Electricity,Low,Electricity
425,damaged railing has been noticed near the public park and may become worse if ignored.,Safety,High,Public Safety
426,overflowing drain has been noticed near the railway crossing and may become worse if ignored.,Drainage,Low,Drainage & Sewerage
427,Residents are reporting sewage overflow around the neighborhood entrance. Please inspect and resolve it.,Drainage,Critical,Drainage & Sewerage
428,"The the school has loose cable, and people are having difficulty using the area.",Electricity,Low,Electricity
429,Citizens are concerned about loose cable at the drainage lane. Kindly investigate.,Electricity,High,Electricity
430,There is a broken streetlight near the street corner. It is causing problems for residents.,Electricity,Low,Electricity
431,Please send a team to the residential street; there is dangerous intersection that needs attention.,Safety,High,Public Safety
432,There is a construction waste near the railway crossing. It is causing problems for residents.,Waste,Medium,Waste Management
433,dangerous intersection has been noticed near the residential street and may become worse if ignored.,Safety,Medium,Public Safety
434,The area around the residential street is affected by abandoned structure. Please arrange maintenance.,Safety,Low,Public Safety
435,Urgent attention is needed at the hospital road because of damaged road.,Roads,Medium,Roads & Works
436,"The the local mosque has low water pressure, and people are having difficulty using the area.",Water,Medium,Water Supply
437,Citizens are concerned about missing safety barrier at the shopping area. Kindly investigate.,Safety,High,Public Safety
438,Residents are reporting low water pressure around the neighborhood entrance. Please inspect and resolve it.,Water,Medium,Water Supply
439,The area around the residential street is affected by overflowing garbage bin. Please arrange maintenance.,Waste,Medium,Waste Management
440,Urgent attention is needed at the residential street because of pothole.,Roads,High,Roads & Works
441,"The the street corner has illegal dumping, and people are having difficulty using the area.",Waste,High,Waste Management
442,Please send a team to the public park; there is loose cable that needs attention.,Electricity,High,Electricity
443,The area around the hospital road is affected by construction waste. Please arrange maintenance.,Waste,High,Waste Management
444,Urgent attention is needed at the market because of overflowing garbage bin.,Waste,Medium,Waste Management
445,Citizens are concerned about broken water pipe at the local mosque. Kindly investigate.,Water,Low,Water Supply
446,The area around the local mosque is affected by open manhole. Please arrange maintenance.,Drainage,Medium,Drainage & Sewerage
447,"The the community center has pothole, and people are having difficulty using the area.",Roads,High,Roads & Works
448,Urgent attention is needed at the apartment block because of missing safety barrier.,Safety,Medium,Public Safety
449,Please send a team to the local mosque; there is overflowing garbage bin that needs attention.,Waste,Medium,Waste Management
450,The area around the community center is affected by blocked drain. Please arrange maintenance.,Drainage,High,Drainage & Sewerage
451,Residents are reporting sewage overflow around the railway crossing. Please inspect and resolve it.,Drainage,Critical,Drainage & Sewerage
452,Citizens are concerned about water leakage at the community center. Kindly investigate.,Water,High,Water Supply
453,"The the public park has sewage overflow, and people are having difficulty using the area.",Drainage,Critical,Drainage & Sewerage
454,Urgent attention is needed at the neighborhood entrance because of water supply interruption.,Water,Medium,Water Supply
455,Citizens are concerned about pothole at the school. Kindly investigate.,Roads,High,Roads & Works
456,"The the school has damaged electric pole, and people are having difficulty using the area.",Electricity,Medium,Electricity
457,Urgent attention is needed at the school because of exposed electrical wire.,Electricity,Critical,Electricity
458,loose cable has been noticed near the street corner and may become worse if ignored.,Electricity,Medium,Electricity
459,The area around the neighborhood entrance is affected by sparking transformer. Please arrange maintenance.,Electricity,Critical,Electricity
460,The area around the residential street is affected by dangerous intersection. Please arrange maintenance.,Safety,High,Public Safety
461,Residents are reporting sewer blockage around the railway crossing. Please inspect and resolve it.,Drainage,High,Drainage & Sewerage
462,There is a exposed electrical wire near the apartment block. It is causing problems for residents.,Electricity,Critical,Electricity
463,Please send a team to the residential street; there is damaged electric pole that needs attention.,Electricity,High,Electricity
464,Urgent attention is needed at the school because of damaged electric pole.,Electricity,Low,Electricity
465,Residents are reporting damaged railing around the main road. Please inspect and resolve it.,Safety,Low,Public Safety
466,"The the community center has uncollected garbage, and people are having difficulty using the area.",Waste,Medium,Waste Management
467,The area around the neighborhood entrance is affected by contaminated water. Please arrange maintenance.,Water,High,Water Supply
468,"The the main road has broken sidewalk, and people are having difficulty using the area.",Safety,Medium,Public Safety
469,The area around the railway crossing is affected by exposed electrical wire. Please arrange maintenance.,Electricity,Critical,Electricity
470,"The the public park has damaged electric pole, and people are having difficulty using the area.",Electricity,Medium,Electricity
471,Citizens are concerned about exposed electrical wire at the neighborhood entrance. Kindly investigate.,Electricity,Critical,Electricity
472,broken sidewalk has been noticed near the railway crossing and may become worse if ignored.,Safety,Medium,Public Safety
473,broken water pipe has been noticed near the residential street and may become worse if ignored.,Water,Medium,Water Supply
474,Please send a team to the shopping area; there is sewer blockage that needs attention.,Drainage,Medium,Drainage & Sewerage
475,Citizens are concerned about uncollected garbage at the hospital road. Kindly investigate.,Waste,Medium,Waste Management
476,Residents are reporting missing safety barrier around the residential street. Please inspect and resolve it.,Safety,Medium,Public Safety
477,Urgent attention is needed at the drainage lane because of damaged electric pole.,Electricity,High,Electricity
478,low water pressure has been noticed near the main road and may become worse if ignored.,Water,High,Water Supply
479,The area around the drainage lane is affected by broken pavement. Please arrange maintenance.,Roads,Medium,Roads & Works
480,Please send a team to the bus stop; there is abandoned structure that needs attention.,Safety,High,Public Safety
481,sewage overflow has been noticed near the shopping area and may become worse if ignored.,Drainage,Critical,Drainage & Sewerage
482,Please send a team to the local mosque; there is water leakage that needs attention.,Water,Medium,Water Supply
483,Please send a team to the bus stop; there is dangerous intersection that needs attention.,Safety,Low,Public Safety
484,The area around the shopping area is affected by uncollected garbage. Please arrange maintenance.,Waste,Low,Waste Management
485,"The the neighborhood entrance has water leakage, and people are having difficulty using the area.",Water,Medium,Water Supply
486,Please send a team to the railway crossing; there is scattered waste that needs attention.,Waste,High,Waste Management
487,There is a sewer blockage near the residential street. It is causing problems for residents.,Drainage,High,Drainage & Sewerage
488,Please send a team to the local mosque; there is uneven road that needs attention.,Roads,Medium,Roads & Works
489,"The the drainage lane has unsafe public area, and people are having difficulty using the area.",Safety,Medium,Public Safety
490,Urgent attention is needed at the street corner because of water leakage.,Water,High,Water Supply
491,overflowing water tank has been noticed near the street corner and may become worse if ignored.,Water,High,Water Supply
492,Residents are reporting broken pavement around the local mosque. Please inspect and resolve it.,Roads,High,Roads & Works
493,The area around the hospital road is affected by sewer blockage. Please arrange maintenance.,Drainage,High,Drainage & Sewerage
494,water supply interruption has been noticed near the hospital road and may become worse if ignored.,Water,Low,Water Supply
495,The area around the school is affected by broken pavement. Please arrange maintenance.,Roads,Medium,Roads & Works
496,Citizens are concerned about damaged railing at the main road. Kindly investigate.,Safety,High,Public Safety
497,Please send a team to the apartment block; there is loose cable that needs attention.,Electricity,Low,Electricity
498,Urgent attention is needed at the street corner because of abandoned structure.,Safety,Medium,Public Safety
499,Residents are reporting cracked road around the railway crossing. Please inspect and resolve it.,Roads,Low,Roads & Works
500,Please send a team to the public park; there is contaminated water that needs attention.,Water,Low,Water Supply
501,illegal dumping has been noticed near the hospital road and may become worse if ignored.,Waste,High,Waste Management
502,There is a sewage overflow near the shopping area. It is causing problems for residents.,Drainage,Critical,Drainage & Sewerage
503,Please send a team to the public park; there is flooded drain that needs attention.,Drainage,Critical,Drainage & Sewerage
504,The area around the market is affected by uneven road. Please arrange maintenance.,Roads,Medium,Roads & Works
505,plastic waste has been noticed near the neighborhood entrance and may become worse if ignored.,Waste,Medium,Waste Management
506,Please send a team to the public park; there is missing safety barrier that needs attention.,Safety,Medium,Public Safety
507,The area around the school is affected by contaminated water. Please arrange maintenance.,Water,High,Water Supply
508,The area around the community center is affected by exposed electrical wire. Please arrange maintenance.,Electricity,Critical,Electricity
509,Please send a team to the street corner; there is loose cable that needs attention.,Electricity,High,Electricity
510,Residents are reporting dangerous intersection around the street corner. Please inspect and resolve it.,Safety,Medium,Public Safety
511,Residents are reporting loose cable around the public park. Please inspect and resolve it.,Electricity,High,Electricity
512,Please send a team to the street corner; there is pothole that needs attention.,Roads,Medium,Roads & Works
513,The area around the public park is affected by broken water pipe. Please arrange maintenance.,Water,Low,Water Supply
514,The area around the local mosque is affected by overflowing water tank. Please arrange maintenance.,Water,Low,Water Supply
515,There is a damaged electric pole near the apartment block. It is causing problems for residents.,Electricity,Medium,Electricity
516,There is a damaged electric pole near the hospital road. It is causing problems for residents.,Electricity,Medium,Electricity
517,There is a missing safety barrier near the shopping area. It is causing problems for residents.,Safety,Medium,Public Safety
518,Residents are reporting uneven road around the bus stop. Please inspect and resolve it.,Roads,Low,Roads & Works
519,There is a flooded drain near the market. It is causing problems for residents.,Drainage,Critical,Drainage & Sewerage
520,cracked road has been noticed near the main road and may become worse if ignored.,Roads,Medium,Roads & Works
521,Urgent attention is needed at the shopping area because of overflowing water tank.,Water,Medium,Water Supply
522,Urgent attention is needed at the street corner because of scattered waste.,Waste,Medium,Waste Management
523,"The the street corner has broken sidewalk, and people are having difficulty using the area.",Safety,Medium,Public Safety
524,Urgent attention is needed at the school because of blocked drain.,Drainage,Medium,Drainage & Sewerage
525,There is a damaged railing near the street corner. It is causing problems for residents.,Safety,High,Public Safety
526,Urgent attention is needed at the railway crossing because of open manhole.,Drainage,Medium,Drainage & Sewerage
527,Citizens are concerned about broken water pipe at the hospital road. Kindly investigate.,Water,Low,Water Supply
528,Residents are reporting overflowing water tank around the apartment block. Please inspect and resolve it.,Water,Low,Water Supply
529,There is a abandoned structure near the local mosque. It is causing problems for residents.,Safety,Medium,Public Safety
530,There is a pothole near the local mosque. It is causing problems for residents.,Roads,Medium,Roads & Works
531,There is a broken sidewalk near the street corner. It is causing problems for residents.,Safety,Medium,Public Safety
532,Please send a team to the hospital road; there is cracked road that needs attention.,Roads,Medium,Roads & Works
533,damaged road has been noticed near the neighborhood entrance and may become worse if ignored.,Roads,Medium,Roads & Works
534,Citizens are concerned about dangerous intersection at the public park. Kindly investigate.,Safety,Medium,Public Safety
535,Please send a team to the neighborhood entrance; there is overflowing water tank that needs attention.,Water,Medium,Water Supply
536,"The the neighborhood entrance has blocked drain, and people are having difficulty using the area.",Drainage,Medium,Drainage & Sewerage
537,There is a construction waste near the hospital road. It is causing problems for residents.,Waste,High,Waste Management
538,Citizens are concerned about broken sidewalk at the community center. Kindly investigate.,Safety,Medium,Public Safety
539,Urgent attention is needed at the residential street because of illegal dumping.,Waste,Low,Waste Management
540,Please send a team to the bus stop; there is damaged electric pole that needs attention.,Electricity,Medium,Electricity
541,The area around the apartment block is affected by damaged railing. Please arrange maintenance.,Safety,High,Public Safety
542,"The the community center has damaged electric pole, and people are having difficulty using the area.",Electricity,Medium,Electricity
543,Residents are reporting overflowing drain around the public park. Please inspect and resolve it.,Drainage,High,Drainage & Sewerage
544,Please send a team to the neighborhood entrance; there is blocked drain that needs attention.,Drainage,Low,Drainage & Sewerage
545,There is a plastic waste near the local mosque. It is causing problems for residents.,Waste,High,Waste Management
546,Please send a team to the shopping area; there is water supply interruption that needs attention.,Water,Medium,Water Supply
547,There is a sewer blockage near the drainage lane. It is causing problems for residents.,Drainage,Medium,Drainage & Sewerage
548,The area around the market is affected by overflowing water tank. Please arrange maintenance.,Water,High,Water Supply
549,Please send a team to the shopping area; there is dangerous intersection that needs attention.,Safety,Medium,Public Safety
550,water supply interruption has been noticed near the public park and may become worse if ignored.,Water,Medium,Water Supply
551,loose cable has been noticed near the public park and may become worse if ignored.,Electricity,Medium,Electricity
552,Residents are reporting damaged electric pole around the hospital road. Please inspect and resolve it.,Electricity,High,Electricity
553,Citizens are concerned about abandoned structure at the apartment block. Kindly investigate.,Safety,High,Public Safety
554,There is a sewer blockage near the community center. It is causing problems for residents.,Drainage,Medium,Drainage & Sewerage
555,There is a overflowing water tank near the school. It is causing problems for residents.,Water,Medium,Water Supply
556,Urgent attention is needed at the shopping area because of sparking transformer.,Electricity,Critical,Electricity
557,Citizens are concerned about overflowing drain at the bus stop. Kindly investigate.,Drainage,Medium,Drainage & Sewerage
558,Citizens are concerned about power outage at the hospital road. Kindly investigate.,Electricity,Medium,Electricity
559,The area around the railway crossing is affected by plastic waste. Please arrange maintenance.,Waste,Medium,Waste Management
560,"The the school has missing safety barrier, and people are having difficulty using the area.",Safety,High,Public Safety
561,There is a illegal dumping near the drainage lane. It is causing problems for residents.,Waste,Medium,Waste Management
562,There is a uneven road near the main road. It is causing problems for residents.,Roads,Medium,Roads & Works
563,"The the market has damaged railing, and people are having difficulty using the area.",Safety,Low,Public Safety
564,There is a damaged electric pole near the public park. It is causing problems for residents.,Electricity,Medium,Electricity
565,The area around the drainage lane is affected by dangerous intersection. Please arrange maintenance.,Safety,Medium,Public Safety
566,Urgent attention is needed at the neighborhood entrance because of pothole.,Roads,Low,Roads & Works
567,loose cable has been noticed near the residential street and may become worse if ignored.,Electricity,Low,Electricity
568,"The the community center has broken sidewalk, and people are having difficulty using the area.",Safety,Low,Public Safety
569,Please send a team to the school; there is road excavation that needs attention.,Roads,Low,Roads & Works
570,Citizens are concerned about exposed electrical wire at the street corner. Kindly investigate.,Electricity,Critical,Electricity
571,Citizens are concerned about open manhole at the market. Kindly investigate.,Drainage,High,Drainage & Sewerage
572,Please send a team to the bus stop; there is construction waste that needs attention.,Waste,Medium,Waste Management
573,There is a uneven road near the street corner. It is causing problems for residents.,Roads,Low,Roads & Works
574,The area around the neighborhood entrance is affected by scattered waste. Please arrange maintenance.,Waste,Low,Waste Management
575,Residents are reporting uneven road around the school. Please inspect and resolve it.,Roads,Medium,Roads & Works
576,Citizens are concerned about plastic waste at the apartment block. Kindly investigate.,Waste,Medium,Waste Management
577,There is a road excavation near the drainage lane. It is causing problems for residents.,Roads,Medium,Roads & Works
578,dangerous intersection has been noticed near the hospital road and may become worse if ignored.,Safety,Low,Public Safety
579,uneven road has been noticed near the drainage lane and may become worse if ignored.,Roads,High,Roads & Works
580,"The the main road has loose cable, and people are having difficulty using the area.",Electricity,High,Electricity
581,"The the bus stop has blocked drain, and people are having difficulty using the area.",Drainage,High,Drainage & Sewerage
582,Residents are reporting abandoned structure around the drainage lane. Please inspect and resolve it.,Safety,Medium,Public Safety
583,Urgent attention is needed at the local mosque because of power outage.,Electricity,Medium,Electricity
584,"The the community center has exposed electrical wire, and people are having difficulty using the area.",Electricity,Critical,Electricity
585,Citizens are concerned about broken sidewalk at the market. Kindly investigate.,Safety,Low,Public Safety
586,Residents are reporting illegal dumping around the street corner. Please inspect and resolve it.,Waste,Medium,Waste Management
587,Citizens are concerned about sparking transformer at the community center. Kindly investigate.,Electricity,Critical,Electricity
588,The area around the residential street is affected by uneven road. Please arrange maintenance.,Roads,Medium,Roads & Works
589,Urgent attention is needed at the community center because of sewage overflow.,Drainage,Critical,Drainage & Sewerage
590,Urgent attention is needed at the local mosque because of overflowing water tank.,Water,Low,Water Supply
591,Please send a team to the apartment block; there is exposed electrical wire that needs attention.,Electricity,Critical,Electricity
592,unsafe public area has been noticed near the market and may become worse if ignored.,Safety,Low,Public Safety
593,Urgent attention is needed at the school because of broken sidewalk.,Safety,Medium,Public Safety
594,pothole has been noticed near the main road and may become worse if ignored.,Roads,Medium,Roads & Works
595,Residents are reporting blocked drain around the school. Please inspect and resolve it.,Drainage,Low,Drainage & Sewerage
596,Urgent attention is needed at the neighborhood entrance because of construction waste.,Waste,Low,Waste Management
597,Residents are reporting broken pavement around the neighborhood entrance. Please inspect and resolve it.,Roads,Medium,Roads & Works
598,open manhole has been noticed near the main road and may become worse if ignored.,Drainage,Medium,Drainage & Sewerage
599,Please send a team to the drainage lane; there is uneven road that needs attention.,Roads,Medium,Roads & Works
600,"The the community center has overflowing water tank, and people are having difficulty using the area.",Water,Low,Water Supply
601,"The the hospital road has sewer blockage, and people are having difficulty using the area.",Drainage,Low,Drainage & Sewerage
602,uncollected garbage has been noticed near the community center and may become worse if ignored.,Waste,Medium,Waste Management
603,Please send a team to the residential street; there is broken pavement that needs attention.,Roads,High,Roads & Works
604,Please send a team to the local mosque; there is construction waste that needs attention.,Waste,Medium,Waste Management
605,Urgent attention is needed at the main road because of low water pressure.,Water,Medium,Water Supply
606,Citizens are concerned about damaged electric pole at the apartment block. Kindly investigate.,Electricity,Medium,Electricity
607,"The the local mosque has plastic waste, and people are having difficulty using the area.",Waste,Medium,Waste Management
608,The area around the bus stop is affected by loose cable. Please arrange maintenance.,Electricity,Medium,Electricity
609,The area around the residential street is affected by uncollected garbage. Please arrange maintenance.,Waste,High,Waste Management
610,low water pressure has been noticed near the community center and may become worse if ignored.,Water,High,Water Supply
611,Please send a team to the market; there is uncollected garbage that needs attention.,Waste,Medium,Waste Management
612,There is a power outage near the railway crossing. It is causing problems for residents.,Electricity,High,Electricity
613,The area around the bus stop is affected by plastic waste. Please arrange maintenance.,Waste,High,Waste Management
614,Urgent attention is needed at the street corner because of unsafe public area.,Safety,Medium,Public Safety
615,Please send a team to the residential street; there is overflowing water tank that needs attention.,Water,Medium,Water Supply
616,Urgent attention is needed at the community center because of overflowing water tank.,Water,Low,Water Supply
617,Urgent attention is needed at the local mosque because of damaged electric pole.,Electricity,Medium,Electricity
618,There is a abandoned structure near the neighborhood entrance. It is causing problems for residents.,Safety,High,Public Safety
619,Residents are reporting flooded drain around the drainage lane. Please inspect and resolve it.,Drainage,Critical,Drainage & Sewerage
620,Citizens are concerned about damaged road at the railway crossing. Kindly investigate.,Roads,Low,Roads & Works
621,Urgent attention is needed at the local mosque because of broken streetlight.,Electricity,High,Electricity
622,There is a open manhole near the market. It is causing problems for residents.,Drainage,Low,Drainage & Sewerage
623,Please send a team to the shopping area; there is water supply interruption that needs attention.,Water,Medium,Water Supply
624,"The the apartment block has scattered waste, and people are having difficulty using the area.",Waste,Medium,Waste Management
625,cracked road has been noticed near the market and may become worse if ignored.,Roads,Medium,Roads & Works
626,"The the street corner has pothole, and people are having difficulty using the area.",Roads,Medium,Roads & Works
627,Please send a team to the apartment block; there is open manhole that needs attention.,Drainage,Medium,Drainage & Sewerage
628,The area around the market is affected by open manhole. Please arrange maintenance.,Drainage,High,Drainage & Sewerage
629,uncollected garbage has been noticed near the market and may become worse if ignored.,Waste,Low,Waste Management
630,Citizens are concerned about unsafe public area at the main road. Kindly investigate.,Safety,Medium,Public Safety
631,Please send a team to the drainage lane; there is damaged railing that needs attention.,Safety,Medium,Public Safety
632,Urgent attention is needed at the public park because of power outage.,Electricity,High,Electricity
633,"The the railway crossing has contaminated water, and people are having difficulty using the area.",Water,Low,Water Supply
634,There is a abandoned structure near the community center. It is causing problems for residents.,Safety,High,Public Safety
635,Urgent attention is needed at the local mosque because of contaminated water.,Water,Medium,Water Supply
636,damaged railing has been noticed near the bus stop and may become worse if ignored.,Safety,High,Public Safety
637,"The the market has road excavation, and people are having difficulty using the area.",Roads,Medium,Roads & Works
638,contaminated water has been noticed near the market and may become worse if ignored.,Water,Medium,Water Supply
639,Citizens are concerned about construction waste at the railway crossing. Kindly investigate.,Waste,Medium,Waste Management
640,Residents are reporting damaged electric pole around the local mosque. Please inspect and resolve it.,Electricity,Medium,Electricity
